"SYMBOL","OPEN","HIGH","LOW","PREV. CLOSE","LTP","CHNG","%CHNG","VOLUME(shares)","VALUE(₹ Crores)","52W H","52W L","30 D   %CHNG","365 D % CHNG 27-Jun-2023"
"NIFTY 50","24,085.90","24,174.00","24,009.15","24,044.50","24,116.85","72.35","0.30","24,86,89,641","28,592.09","24,087.45","18,837.85","5.05","26.74"
"RELIANCE","3,062.05","3,162.00","3,062.05","3,061.10","3,152.60","91.50","2.99","1,08,72,247","3,386.52","3,162.00","2,220.30","5.11","21.02"
"ONGC","269.00","275.45","268.35","267.50","274.70","7.20","2.69","1,37,74,043","376.69","292.95","156.55","-2.48","68.72"
"DRREDDY","6,255.45","6,420.00","6,251.05","6,235.90","6,398.00","162.10","2.60","7,68,564","490.65","6,505.90","5,004.35","4.54","22.08"
"TATAMOTORS","975.00","998.50","972.55","972.10","995.70","23.60","2.43","1,74,36,395","1,724.93","1,065.60","575.50","2.59","65.70"
"HEROMOTOCO","5,500.00","5,588.80","5,452.10","5,485.20","5,581.25","96.05","1.75","3,10,034","171.41","5,894.55","2,795.00","5.81","93.91"
"SBILIFE","1,450.10","1,498.80","1,450.00","1,463.45","1,487.60","24.15","1.65","9,19,407","136.46","1,569.40","1,251.65","0.88","12.58"
"SBIN","846.90","864.00","844.00","844.00","857.20","13.20","1.56","1,62,94,275","1,396.37","912.00","543.20","1.55","48.12"
"DIVISLAB","4,522.35","4,648.45","4,522.35","4,522.35","4,586.10","63.75","1.41","2,70,309","124.31","4,648.45","3,295.30","2.97","25.57"
"ASIANPAINT","2,865.00","2,932.00","2,862.20","2,880.85","2,918.05","37.20","1.29","8,60,411","250.74","3,568.00","2,670.10","-1.04","-13.96"
"COALINDIA","470.00","476.00","468.00","467.05","473.00","5.95","1.27","67,45,752","319.18","527.40","224.15","-4.22","105.52"
"HINDALCO","690.25","697.50","686.00","685.25","693.85","8.60","1.26","40,20,149","278.15","715.25","414.65","0.58","63.08"
"NESTLEIND","2,533.75","2,573.70","2,528.30","2,533.75","2,565.00","31.25","1.23","8,50,408","217.79","2,769.30","2,145.00","3.35","-88.86"
"NTPC","377.95","389.50","376.70","377.15","381.80","4.65","1.23","1,89,05,967","724.46","393.20","184.75","3.22","99.44"
"GRASIM","2,635.95","2,678.95","2,587.20","2,637.60","2,668.20","30.60","1.16","9,40,136","247.81","2,678.95","1,730.75","8.08","51.32"
"TATACONSUM","1,085.60","1,104.00","1,085.00","1,085.60","1,098.00","12.40","1.14","6,60,448","72.32","1,269.00","822.00","-0.91","26.98"
